P9	P14	P41	P43	P46	P47	P74	P75	P82	P84	P102	P107	P167	P178	P179	P186	P190	P191	P196	P212	P225	P261	P265	P266	P276	P291	P294	P295	P301	P304	P143	P149	Domain	Phylum	Class	Order	Family	Genus	Species
15	40	7	100	5	3	4	5	65	9	5	5	3	9	46	3	6	12	17	31	11	51	0	5	17	25	15	36	31	69	18	61	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Profftella	Profftella armatura
1	0	3	3	0	13	0	0	0	0	1	1	0	4	1	0	4	7	2	1	2	2	1	0	0	0	1	1	4	6	0	2	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Tremblaya	Tremblaya princeps
4642	149	289	69	52	2600	3060	2906	47	856	763	610	5347	78	52	370	2583	273	762	47	198	51	2983	54	4607	29	1696	40	308	81	3768	357	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Beutenbergiaceae	Beutenbergia	Beutenbergia cavernae
4380	112	232	67	62	1960	1637	2659	72	465	1352	569	6124	61	99	357	1906	206	527	44	193	53	3720	55	3148	10	839	44	270	90	2163	283	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Beutenbergiaceae	Miniimonas	Miniimonas sp. S16
461	53	227	181	193	492	753	361	68	221	205	152	819	69	81	117	307	104	315	27	304	149	477	22	1105	151	344	94	43	554	631	159	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium actinocoloniiforme
657	66	1237	247	89	642	865	1095	261	260	611	475	1369	95	234	1407	655	158	1043	74	96	148	766	25	700	117	507	83	116	224	686	442	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
637	139	553	146	31	389	520	873	107	178	811	84	1057	104	217	898	392	125	359	112	71	159	608	28	545	98	491	80	83	501	475	228	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
1156	563	631	304	36	846	1460	588	209	551	774	414	1709	159	322	513	759	103	334	92	210	209	1215	32	1212	385	1043	61	114	312	1320	259	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
708	60	310	107	18	486	1117	755	109	291	655	269	1774	63	109	125	239	97	124	42	103	128	1138	7	570	86	816	42	56	121	1190	237	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium asteroides
1466	125	1305	151	55	850	208	1426	166	127	2666	470	2449	265	469	5843	956	236	466	200	156	179	1799	34	390	117	605	64	88	416	778	438	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
1551	1493	5968	982	121	810	1834	1261	911	582	1300	386	1447	200	2719	29240	938	281	993	163	196	822	756	104	3181	618	1500	385	617	2794	1323	1221	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
1611	610	20551	1194	53	289	2779	696	348	1296	597	265	1028	146	530	1943	314	163	18096	98	73	338	729	15	592	500	748	184	173	417	241	339	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum
913	34	292	48075	23	694	661	805	139	190	502	203	1217	58	104	173	3929	138	143	99	59	95	875	28	694	105	550	20	163	86	827	241	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium choerinum
38	31	41	18	6	25	72	48	8	16	11	3	49	6	13	7	18	8	141	9	3	8	17	1	668	14	12	4	6	20	4	25	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium coryneforme
423	132	276	422	38	254	229	632	163	114	581	147	1249	33	150	215	196	87	244	96	51	148	651	16	764	188	201	126	130	140	141	385	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
862	113	553	135	45	813	219	826	133	121	923	178	1397	46	506	7177	721	200	205	149	154	151	951	26	331	74	462	33	75	276	342	486	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium gallinarum
62	6	83	19	5	64	55	33	22	25	298	13	29	4	35	13	213	24	82	11	29	14	16	3	307	8	46	10	16	24	5	48	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium indicum
3186	3900	3407	544	1054	1989	1903	2480	732	1372	2474	280	2554	478	37077	579872	1217	373	5790	294	254	2571	1336	1098	2688	720	1484	457	370	23720	1651	2168	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
370	201	2986	185	44	479	10620	364	455	3004	797	115	274	963	302	303	262	161	914	63	147	319	179	22	124	315	333	62	123	256	186	845	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum
30980	811	571	1244	107	1040	672	757	264	458	1730	185	1436	165	369	281	17114	183	310	137	312	390	821	34	1415	672	720	160	267	237	1126	340	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum
801	153	532	141	58	798	377	648	230	204	1384	114	1192	70	328	1623	795	212	157	175	169	624	675	33	479	587	658	78	166	277	463	707	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium scardovii
567	33	378	126	21	481	372	471	130	128	618	160	922	50	143	787	554	123	142	75	122	78	504	8	606	50	397	41	78	560	284	213	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium thermophilum
257	345	335	1089	215	415	91	266	1103	290	857	262	113	221	810	234	278	211	354	119	260	660	42	61	774	502	794	616	227	982	191	896	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
329	29	297	93	16	314	579	710	73	202	651	102	1027	31	92	89	223	85	191	24	55	87	647	8	870	86	429	20	27	76	658	134	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia denticolens
225	221	186	152	44	148	623	339	92	189	397	197	409	76	62	68	88	70	411	41	53	87	112	11	1716	85	413	119	166	75	255	140	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia inopinata
112	27	110	44	14	153	19	29	48	57	524	35	62	18	54	35	371	27	32	55	80	22	14	10	60	38	211	27	45	30	28	89	Bacteria	Bipolaricaulota	Bipolaricaulota	Bipolaricaulota	Bipolaricaulota	Bipolaricaulis	Bipolaricaulis anaerobius
71	43	97	29	5	90	11	42	33	7	61	18	36	15	17	10	94	32	19	15	5	43	9	6	17	35	44	19	34	25	11	109	Bacteria	Acidobacteria	Blastocatellia	Blastocatellia	Blastocatellia	Chloracidobacterium	Chloracidobacterium thermophilum
3	9	13	9	6	14	0	10	11	0	14	15	2	4	36	0	6	5	11	4	1	14	3	2	2	10	1	92	3	9	1	22	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium clevelandi
1444	3582	2583	5597	866	6126	397	1251	5183	1118	2105	1533	393	7790	4879	1795	666	1375	2928	1016	2257	4871	456	579	1292	5287	4169	4228	3556	4730	1001	3308	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium cuenoti
5	44	50	57	13	22	30	12	142	14	60	8	10	17	37	4	12	38	90	8	27	96	2	3	28	36	31	73	23	47	11	124	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium punctulatus
13	31	7	26	5	17	2	13	49	4	62	6	5	0	14	6	17	43	22	11	14	25	0	2	20	34	32	36	11	8	12	11	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Blaberus giganteus
20	10	73	91	8	45	3	9	58	15	57	1	6	27	25	26	0	18	39	17	11	16	5	5	47	32	65	36	3	34	3	40	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Blatta orientalis
9	321	14	54	17	22	0	4	71	2	12	39	3	33	39	20	17	49	31	18	13	90	4	6	10	261	37	61	149	103	26	64	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Blattella germanica
10	5	27	5	45	27	2	212	6	99	31	167	4	18	7	3	4	3	19	4	45	20	8	3	5	24	16	38	12	134	35	17	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Cryptocercus kyebangensis
21	13	8	52	9	32	0	2	42	3	7	19	1	8	35	75	3	47	32	12	13	31	0	5	7	36	19	131	17	76	30	33	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. DPU
7	27	13	80	1	13	0	6	98	8	20	29	1	25	41	1	5	25	10	12	8	49	8	4	5	25	36	31	35	21	8	61	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Mastotermes darwiniensis
2	8	16	46	0	18	2	3	313	4	12	14	12	27	60	5	2	11	14	28	7	5	0	3	5	21	12	16	11	21	11	11	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Nauphoeta cinerea
0	0	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	4	1	0	0	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. Periplaneta americana
5665	111	182	61	114	2757	4981	4789	42	1435	1279	813	8881	54	62	431	2030	244	987	27	255	57	3986	79	6739	27	2552	69	246	92	5475	283	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	Georgenia faecalis
29334	263	301	66	112	3097	3686	3666	90	1229	961	792	12183	79	69	1495	3980	340	1532	77	376	130	3845	65	9319	31	1856	68	475	91	3027	552	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	Georgenia sp. Z294
6620	124	278	76	141	3485	4133	6405	83	1204	1767	1438	11604	79	69	461	2693	277	1652	35	325	105	6896	117	8685	39	1897	176	334	153	4655	348	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	Georgenia sp. Z443
10	5	8	10	6	14	6	13	30	4	12	12	6	8	8	1	8	9	15	12	4	38	2	5	5	30	23	26	11	6	4	30	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia anserina
100	29	299	366	26	599	21	74	174	44	253	23	14	146	127	171	23	111	196	44	56	70	48	14	195	140	335	174	122	160	21	152	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia coriaceae
59	88	45	314	9	39	2	26	164	2	69	14	8	134	167	6	78	37	49	8	14	67	4	7	101	50	90	123	28	48	14	25	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia crocidurae
1	5	0	1	0	4	0	0	15	2	0	1	0	3	5	4	1	3	2	5	3	1	1	1	1	0	5	2	2	3	1	24	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia duttonii
10	123	26	154	14	23	4	15	283	9	25	23	27	18	139	14	30	65	57	33	61	58	5	4	23	53	68	90	30	66	57	78	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia hermsii
64	298	404	585	113	1800	32	206	465	97	160	135	53	1323	337	124	53	100	270	54	402	649	9	95	42	434	628	409	632	894	39	126	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi
10	12	8	14	19	8	0	0	77	4	10	1	2	3	51	2	2	8	10	6	7	32	1	2	0	47	11	39	14	54	5	109	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia parkeri
2	7	1	19	0	5	0	1	1	0	8	2	2	21	2	0	0	4	7	2	3	1	0	0	0	3	3	18	0	13	1	4	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia recurrentis
38	21	40	55	23	113	21	39	33	16	111	20	3	145	61	32	14	24	40	11	86	119	2	24	11	114	134	40	111	101	12	45	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia sp. A.FGy1
17	280	37	700	35	54	4	25	439	34	47	54	36	32	395	8	40	133	52	19	50	186	11	17	141	199	53	325	117	358	81	90	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turcica
20	4	17	124	7	96	5	26	50	7	53	71	6	102	23	25	6	131	46	15	35	91	29	6	1	19	36	37	8	205	47	16	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turicatae
19	13	19	38	4	29	2	16	76	4	15	8	4	47	91	29	7	34	26	5	9	34	11	0	21	32	30	17	18	20	1	82	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borrelia mayonii
14	64	13	22	19	8	5	14	246	0	20	12	38	16	90	92	13	29	29	24	17	31	2	7	5	27	15	32	19	49	5	104	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borrelia sp. CA690
19	8	24	17	9	20	1	1	92	6	17	4	0	27	159	59	16	16	15	15	21	24	1	5	6	30	34	121	9	24	17	98	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella afzelii
0	0	0	1	2	2	0	1	3	1	2	2	0	2	3	2	0	6	1	2	0	15	0	0	1	15	0	0	4	5	3	6	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella bavariensis
1	19	5	28	1	8	3	0	17	2	10	26	1	185	57	6	5	29	20	6	2	27	3	7	15	21	15	22	17	16	16	34	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella bissettii
28	90	121	307	39	588	27	46	73	9	42	70	7	880	24	55	18	21	154	20	173	160	9	53	20	110	327	57	54	318	16	46	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi
1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	2	0	0	0	0	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella finlandensis
11	28	14	51	6	30	4	14	153	5	22	24	3	31	67	7	4	57	36	11	14	48	0	4	7	68	20	45	10	35	39	44	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella garinii
0	1	3	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	1	0	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella spielmanii
1	5	12	75	6	13	1	3	44	0	4	8	0	8	94	4	8	34	15	8	19	50	2	3	7	20	26	42	13	38	8	29	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana
17	33	13	33	15	39	7	20	338	5	73	82	21	13	107	8	9	60	24	49	36	55	38	12	1	63	14	173	36	142	22	12	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borrelia tachyglossi
405	1659	1323	1085	495	1313	39	255	9557	359	1297	252	168	654	2760	349	420	331	856	1237	358	2211	95	97	288	792	771	1797	1080	2237	188	2551	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hampsonii
175	2321	1778	2063	860	2694	59	369	17772	409	1731	288	300	1405	6075	183	514	296	1115	1887	836	3456	111	208	202	1176	1337	2700	1225	4182	252	3082	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae
221	2094	1761	2103	644	2020	54	428	16620	224	1567	232	274	923	4998	272	409	232	1195	1529	519	3426	113	198	338	1060	1009	2267	1093	3355	209	2688	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira intermedia
295	1826	1332	1693	546	1826	46	316	13631	234	1035	221	156	1196	1838	256	389	303	1131	828	529	2599	81	129	124	979	768	2005	790	2517	189	1958	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira murdochii
1226	1954	1360	1628	545	1778	65	403	10809	498	1280	325	166	1698	1989	382	446	456	1606	739	652	2577	175	156	325	1176	1241	1910	917	2860	320	2271	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli
149	73	130	101	16	199	98	145	29	23	81	27	137	66	20	87	183	48	18	24	35	43	92	15	44	161	214	58	54	240	26	106	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas sediminis
461	77	237	60	15	662	33	271	97	26	343	224	305	38	134	86	701	114	51	38	65	160	167	17	147	121	169	84	129	83	129	241	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Persicimonas	Persicimonas caeni
70	207	90	26	2	93	2	63	22	21	83	341	55	14	398	27	66	52	18	28	10	256	37	7	19	146	73	128	522	43	9	93	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadales	Bradymonadales	Bradymonadales bacterium V1718
158	44	66	31	6	309	82	185	13	21	83	79	192	21	17	57	515	87	20	13	25	26	32	5	67	11	145	9	215	21	81	95	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Afipia sp. GAS231
458	177	85	64	9	709	27	218	28	22	151	81	454	61	111	82	701	125	34	27	27	127	393	12	114	62	136	43	344	33	55	174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. ANAM02
454	77	130	78	10	617	382	279	40	119	329	108	555	62	43	86	844	122	193	27	63	52	291	10	810	39	165	18	175	33	696	122	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. AS.1
450	178	100	55	23	716	306	172	27	119	193	62	256	76	49	119	871	122	58	63	20	131	126	30	306	103	356	28	308	60	30	272	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. F3.2
458	62	100	38	12	630	53	304	15	25	241	137	733	45	25	90	811	98	20	29	40	35	542	12	125	15	167	13	139	30	38	133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. PAMC 26642
513	99	111	50	10	789	773	222	5	262	163	50	631	47	24	89	890	136	66	29	17	24	215	16	469	23	562	26	182	28	630	172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. RAC05
545	82	129	42	9	825	461	238	14	127	145	52	466	97	22	129	899	116	60	37	36	21	215	19	336	20	342	12	215	54	436	159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. Tri.49
581	233	151	97	30	701	273	410	32	89	236	196	882	79	57	93	984	90	66	18	97	53	689	17	239	65	201	84	214	65	645	144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea vaviloviae
242	14	39	341	11	496	93	248	6	30	157	84	286	29	27	73	916	111	9	19	21	10	138	13	89	10	147	26	157	19	262	141	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium amphicarpaeae
229	17	41	61	5	396	14	142	28	9	115	56	385	49	20	43	631	97	20	16	15	10	284	8	43	13	70	8	160	13	22	88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium betae
323	20	85	49	4	505	259	280	14	108	155	93	475	47	31	85	854	133	187	30	35	32	449	18	688	23	228	12	259	40	158	143	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense
284	664	91	107	42	617	57	198	35	76	182	81	340	46	203	96	913	130	31	27	39	276	111	13	118	334	203	264	803	108	345	212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium cosmicum
273	18	37	55	10	449	131	54	6	44	77	22	100	43	18	155	569	80	56	8	16	12	26	8	351	13	92	8	156	75	17	90	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens
533	47	113	58	8	696	149	308	34	50	400	120	675	48	55	101	1158	154	88	69	39	71	565	14	327	52	189	30	388	61	30	214	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
908	463	250	274	56	2135	871	867	80	324	691	532	1020	179	140	285	3657	450	205	117	91	191	496	46	1044	134	1137	79	875	118	751	585	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
210	33	47	74	17	721	23	291	32	27	184	83	296	43	32	96	1051	147	19	16	36	19	154	18	81	50	134	20	196	31	219	125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium guangdongense
271	421	109	131	8	792	96	133	10	49	147	48	137	52	59	130	1083	227	76	33	27	71	84	28	410	157	247	20	313	16	44	223	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium guangxiense
314	63	62	81	24	930	104	259	29	51	278	73	250	40	46	99	1376	147	49	15	38	58	199	9	254	29	141	8	226	28	23	146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium guangzhouense
271	29	127	92	8	716	70	171	12	41	226	38	247	52	68	109	1516	192	31	94	34	19	78	6	132	17	234	12	919	63	17	338	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium icense
408	41	158	165	22	785	38	216	46	36	193	65	312	58	72	165	1319	153	66	39	37	33	139	21	161	32	273	33	325	62	38	305	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum
397	24	84	58	11	600	138	213	14	44	211	72	456	55	34	76	1137	171	182	39	53	49	334	13	672	26	153	32	351	27	13	217	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi
387	81	89	67	13	831	397	155	29	120	114	88	369	47	29	126	1020	146	30	35	44	59	264	19	236	30	275	33	196	25	34	179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium oligotrophicum
126	57	53	144	149	95	64	56	36	54	152	108	68	145	12	120	194	82	506	48	57	48	195	108	62	50	51	124	54	90	98	48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
327	39	72	103	17	795	694	276	10	211	242	73	382	55	81	188	1560	170	42	84	41	38	173	21	698	13	503	25	914	93	840	355	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium paxllaeri
145	458	41	86	11	411	24	162	31	29	128	54	187	31	75	67	642	113	10	24	26	153	95	9	50	120	117	27	206	22	31	124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.
379	37	94	99	14	730	402	295	23	101	235	102	651	37	36	103	1048	179	36	50	35	30	367	17	213	10	381	16	334	28	408	212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. 12017
10	0	9	5	1	19	0	3	0	0	3	1	0	2	0	5	29	3	0	1	0	2	0	3	0	0	1	0	5	1	0	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. 323S2
519	21	98	57	20	714	40	406	50	48	450	105	740	65	60	109	1084	144	38	59	81	33	426	17	144	22	237	11	330	37	86	230	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. 62017
443	37	78	69	13	815	152	164	36	75	237	109	320	36	55	130	1045	143	28	32	32	45	113	19	156	21	179	22	233	39	191	196	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1
330	46	78	139	18	740	126	126	33	108	244	75	193	103	74	121	1635	204	40	112	49	122	110	16	578	112	289	53	1135	91	51	438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. CCBAU 051011
252	69	42	149	16	744	110	138	37	53	141	39	262	54	93	110	1122	193	154	30	19	68	193	9	219	48	169	34	315	66	29	231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. CCGE.LA001
56	3	16	4	0	96	59	12	9	26	13	7	23	9	15	7	148	16	3	5	2	9	18	5	25	15	71	0	28	2	45	21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LCT2
346	27	101	45	14	722	87	132	26	33	155	76	180	44	58	97	1053	134	31	33	44	96	92	17	109	57	186	50	255	42	82	179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 278
457	62	77	51	13	725	135	189	18	43	138	79	440	72	46	130	989	147	33	39	30	75	197	7	327	60	170	31	316	50	49	234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 285
